problem,answer,difficulty
"재원이는 피자 전체의 2/5 만큼을 먹었고, 지우는 피자 전체의 3/8 만큼을 먹었다면 피자를 더 많이 먹은 사람은 누구인지 풀이 과정을 쓰고 답을 구하세요.","2/5와 3/8을 공통분모를 40으로 하여 통분하면 2/5=16/40, 3/8=15/40입니다. 따라서 16/40>15/40이므로 피자를 더 많이 먹은 사람은 재원입니다.",상
4/7보다 5/14만큼 더 큰 수를 구하세요.,4/7보다 5/14만큼 더 큰 수를 구하려면 우선 분모를 통분해 주어야 합니다. 4/7=8/14이므로 8/14+5/14=13/14입니다. 따라서 답은 13/14입니다.,하
3/10보다 1/8만큼 더 큰 수를 구하세요.,"3/10보다 1/8만큼 더 큰 수를 구하려면 우선 분모를 통분해 주어야 합니다. 분모의 최소공배수를 찾습니다. 최소공배수는 40이므로 두 분수의 분모가 40이 되도록 만듭니다. 3/10=12/40, 1/8=5/40이 됩니다. 두 수를 더하면 12/40+5/40=17/40입니다.",하
"찬영이는 빨간색 색종이 8장과 파란색 색종이 10장을 가지고 있었습니다. 찬영이가 가지고 있던 색종이를 3묶음으로 똑같이 나누어 한 묶음을 태호에게 주었습니다. 규호는 태호가 받은 색종이 수의 2배보다 7장 적게 가지고 있다면, 규호가 가지고 있는 색종이는 모두 몇 장인지 하나의 식으로 만든 후 구하려고 합니다. 풀이 과정을 쓰고 답을 구하시오.","
찬영이가 가지고 있는 색종이의 수는 (8+10)장이고 태호가 받은 색종이의 수는 (8+10)÷3장입니다. 따라서 규호는 태호가 받은 색종이 수의 2배보다 7장 적게 가지고 있으므로 식을 세워 계산하면 (8+10)÷3×2-7=5(장)입니다. 따라서 답은 5입니다.",중
"소민이와 금진이는 각각 주어진 식을 계산하려고 합니다. 누구의 계산 결과가 더 큰지 알아보시오.
소민: 7=6*9+29
금진: (30+56)/2-9","소민이의 계산 결과는 70-6×9+29=70-54+29=16+29=45이고, 금진이의 계산 결과는 (30+56)÷2-9=86÷2-9=43-9=34이므로 계산 결과가 더 큰 사람은 소민입니다. 따라서 답은 소민입니다.",중
"지수, 철수, 소라는 과수원에서 복숭아 따기 체험을 한 후, 썩은 복숭아는 모두 버렸습니다. 남은 복숭아는 딴 복숭아의 몇 분의 몇인지 기약분수로 나타내고, 비교해 보시오.
지수는 복숭아 72개를 땄습니다. 이 중에서 12개가 썩어서 버렸습니다. 
철수는 복숭아 54개를 땄습니다. 이 중에서 27개가 썩어서 버렸습니다.
소라는 복숭아 48개를 땄습니다. 이 중에서 8개가 썩어서 버렸습니다.","지수가 딴 복숭아 중 남은 복숭아는 72-12이므로 72-12=60개입니다. 따라서 60/72=5/6입니다.
철수가 딴 복숭아 중 남은 복숭아는 54-27이므로 54-27=27개입니다. 따라서 27/54=1/2입니다.
소라가 딴 복숭아 중 남은 복숭아는 48-8이므로 48-8=40개입니다. 따라서 40/48=5/6입니다.
세 사람이 따서 버리고 남은 복숭아를 비교하면 각각 5/6, 1*3/2*3=3/6, 5/6으로, 분수의 크기가 다른 사람은 철수입니다.",상
"솔희, 지희, 민지가 숙제를 한 시간을 조사하였습니다. 세 명 중에서 숙제를 하는 데 가장 많은 시간을 사용한 사람을 찾으세요.
솔희: 7/10시간, 지희: 5/8시간, 민지: 23/40시간","우선 솔희와 지희가 숙제를 한 시간을 비교합니다. 솔희가 숙제를 한 시간은 7/10시간이고, 지희가 숙제를 한 시간은 5/8시간이므로 두 분수의 공통분모를 40으로 통분하면 각각 28/40시간, 25/40시간입니다. 따라서 숙제를 더 오래 한 사람은 솔희입니다
이제 지희와 민지가 숙제를 한 시간을 비교합니다. 지희가 숙제를 한 시간은 5/8시간이고, 민지가 숙제를 한 시간은 23/40이므로 두 분수의 공통분모를 40으로 통분하면 각각 25/40, 23/40이므로 숙제를 더 오래 한 사람은 지희입니다.
이제 솔희와 민지가 숙제를 한 시간을 비교합니다. 솔희가 숙제를 한 시간은 7/10시간이고, 민지가 숙제를 한 시간은 23/40시간이므로 두 분수의 공통분모를 40으로 통분하면 각각 28/40, 23/40이므로 숙제를 더 오래 한 사람은 솔희입니다.
이제 종합해 보면, 솔희가 가장 숙제를 오래했고, 다음으로는 지희, 마지막으로는 민지라는 것을 알 수 있습니다. 따라서 답은 솔희, 지희, 민지입니다.",중
한 상자에 30개씩 담긴 사탕이 6상자 있습니다. 이 사탕을 9명에게 똑같이 나누어 주려면 한 사람에게 줄 수 있는 사탕은 몇 개인지 하나의 식으로 나타내고 구해 보세요.,"한 상자에 30개씩 담긴 사탕이 6상자 있으므로 총 사탕의 수는 30*6개입니다. 30×6/9=20, 한 사람에게 줄 수 있는 사탕은 20개입니다.",중
"연필 300자루는 몇 타를 만들 수 있는지 풀이 과정을 쓰고 답을 구하세요.
 ",두 양 사이의 대응 관계를 식으로 나타내면 (연필의 수)÷12=(연필 타수)이므로 연필 300자루로는 300÷12=25(타)를 만들 수 있습니다. 따라서 답은 25타입니다.,중
명근이와 재경이는 매달 열심히 저금을 합니다. 명근이는 재경이보다 항상 1/5만큼 더 저금합니다. 재경이가 10000원을 저금하였을 때 명근이가 저금한 금액은 얼마인지 풀이 과정을 쓰고 답을 구하세요. ,재경이가 저금한 돈은 명근이가 저금한 돈보다 500원 더 많으므로 명근이가 저금한 금액은 10000+500=10500(원)입니다. 따라서 답은 10500원입니다.,중
"피자 한 판은 8조각입니다. 피자 15판을 한 사람이 한 조각씩 먹는다면 모두 몇 명이 먹을 수 있는지 풀이 과정을 쓰고 답을 구하세요.
 ",(피자의 수)×8=(피자 조각의 수)이므로 15×8=120(명)이 1조각씩 먹을 수 있습니다. 따라서 답은 120명입니다.,중
56/72을 기약분수로 나타내려고 합니다. 분모와 분자를 나눌 수 있는 수 중에서 가장 큰 수는 얼마인지 풀이 과정을 쓰고 답을 구하세요.,기약분수로 나타내기 위해서 분모와 분자의 최대공약수로 약분을 해야 합니다. 56과 72의 최대공약수가 8이므로 8로 약분하면 56/72=56÷8/72÷8=7/9이 됩니다. 따라서 답은 8입니다.,하
